tag,gt_x,gt_y,gt_z,min_x,min_y,min_z,topk_x,topk_y,topk_z,err_hard,err_raw,err_topk,cos_gt,margin,at_boundary,gt_outside_grid,e_min,e_max
t_az90_el20_nz_p1,-0.0012,-0.0001,-0.0615,0.0,0.02,0.0,0.0022,0.0139,-0.0261,0.0647,0.0647,0.0382,-0.002,3.13,0,0,0.3911,0.4228
t_az90_el20_nz_p2,-0.0015,-0.0001,-0.0627,0.0,0.0,-0.04,0.0011,0.0022,-0.0361,0.0228,0.0228,0.0268,1.0,3.21,0,0,0.3986,0.4384
t_az90_el20_px_p0,0.0546,-0.0002,-0.0075,0.04,0.08,0.02,0.0494,0.0711,0.0256,0.086,0.086,0.0787,0.4,2.231,1,0,0.4209,0.444
t_az90_el20_px_p1,0.0539,-0.0001,-0.0079,0.04,0.04,0.02,0.0467,0.0422,0.0233,0.0508,0.0508,0.0531,0.61,2.062,0,0,0.42,0.4475
t_az90_el20_px_p2,0.0535,-0.0001,-0.0071,0.02,0.06,0.0,0.03,0.0522,0.0089,0.0692,0.0692,0.0596,0.312,2.717,0,0,0.4136,0.4524
t_az90_el20_py_p0,-0.0004,0.0554,-0.0067,0.0,0.02,0.0,-0.0011,0.0183,-0.0044,0.036,0.036,0.0371,0.993,3.388,0,0,0.3962,0.4327
t_az90_el20_py_p1,-0.0003,0.0554,-0.007,0.0,0.02,0.0,-0.0072,0.0189,-0.0094,0.0361,0.0361,0.0372,0.992,3.492,0,0,0.3956,0.4392
t_az90_el20_py_p2,0.0004,0.0554,-0.0068,0.0,0.02,0.0,0.0006,0.0167,-0.0067,0.0361,0.0361,0.0388,0.993,3.498,0,0,0.3885,0.4316
t_az90_el20_pz_p0,0.0006,-0.0001,0.0488,0.0,0.02,0.02,0.0006,0.0156,0.0183,0.0352,0.0352,0.0343,0.706,3.349,0,0,0.3922,0.4323
t_az90_el20_pz_p1,0.0013,-0.0002,0.0479,0.02,0.02,0.04,0.0311,0.0117,0.0422,0.0287,0.0287,0.0326,0.826,2.186,0,0,0.4049,0.4344
t_az90_el20_pz_p2,0.0001,-0.0001,0.0482,0.0,0.02,0.04,0.0056,0.0078,0.0339,0.0217,0.0217,0.0173,0.893,2.661,0,0,0.3962,0.4367
t_az90_el45_nx_p0,-0.0556,-0.0,-0.0053,-0.02,-0.06,0.0,-0.0278,-0.0467,-0.0022,0.07,0.07,0.0544,0.316,2.873,0,0,0.4231,0.4587
t_az90_el45_nx_p1,-0.0555,0.0,-0.0043,-0.04,-0.04,0.0,-0.03,-0.045,-0.0111,0.0431,0.0431,0.0522,0.705,2.897,0,0,0.4285,0.4723
t_az90_el45_nx_p2,-0.0557,-0.0,-0.0046,-0.02,-0.04,0.0,-0.0317,-0.0428,-0.0039,0.0538,0.0538,0.0491,0.446,2.755,0,0,0.4333,0.4665
t_az90_el45_ny_p0,-0.0004,-0.0556,-0.0067,0.0,0.0,0.02,0.0083,-0.0006,0.0194,0.0617,0.0617,0.0615,-0.12,2.882,0,0,0.4129,0.464
t_az90_el45_ny_p1,-0.0011,-0.0557,-0.0077,0.0,0.0,0.02,0.0189,-0.01,0.0267,0.0622,0.0622,0.0606,-0.137,2.61,0,0,0.4158,0.4687
t_az90_el45_ny_p2,0.0001,-0.0557,-0.0077,0.0,0.0,0.02,0.0089,-0.0028,0.0189,0.0622,0.0622,0.0599,-0.137,3.091,0,0,0.414,0.4669
t_az90_el45_nz_p0,-0.0011,-0.0001,-0.0622,0.0,0.0,-0.02,0.0089,-0.0072,-0.0183,0.0422,0.0422,0.0455,1.0,3.571,0,0,0.3969,0.4451
t_az90_el45_nz_p1,-0.0012,-0.0001,-0.0615,0.0,0.0,-0.02,0.0033,0.0067,-0.0267,0.0415,0.0415,0.0358,1.0,3.212,0,0,0.3979,0.4454
t_az90_el45_nz_p2,-0.0015,-0.0001,-0.0627,0.0,0.0,-0.02,0.0017,0.0006,-0.0206,0.0428,0.0428,0.0423,1.0,3.543,0,0,0.4004,0.4506
t_az90_el45_px_p0,0.0546,-0.0002,-0.0075,0.04,0.06,0.02,0.05,0.0561,0.0133,0.0677,0.0677,0.0602,0.491,2.543,0,0,0.4351,0.4761
t_az90_el45_px_p1,0.0539,-0.0001,-0.0079,0.02,0.06,0.02,0.0356,0.0522,0.0183,0.0744,0.0744,0.0614,0.253,2.738,0,0,0.4326,0.477
t_az90_el45_px_p2,0.0535,-0.0001,-0.0071,0.02,0.06,0.02,0.0394,0.0472,0.0172,0.074,0.074,0.0551,0.257,2.704,0,0,0.4364,0.4808
t_az90_el45_py_p0,-0.0004,0.0554,-0.0067,0.0,0.02,-0.02,-0.0083,0.0328,-0.02,0.0378,0.0378,0.0274,0.787,3.197,0,0,0.4193,0.4571
t_az90_el45_py_p1,-0.0003,0.0554,-0.007,0.0,0.04,-0.02,-0.0072,0.0339,-0.0233,0.0202,0.0202,0.0279,0.943,2.904,0,0,0.4237,0.4642
t_az90_el45_py_p2,0.0004,0.0554,-0.0068,0.0,0.02,-0.02,-0.0039,0.0239,-0.0222,0.0378,0.0378,0.0354,0.788,3.138,0,0,0.4116,0.4584
t_az90_el45_pz_p0,0.0006,-0.0001,0.0488,0.0,0.0,0.02,0.0056,0.0122,0.025,0.0288,0.0288,0.0273,1.0,2.728,0,0,0.4111,0.4626
t_az90_el45_pz_p1,0.0013,-0.0002,0.0479,0.0,0.02,0.02,0.0039,0.0128,0.0117,0.0345,0.0345,0.0386,0.703,3.007,0,0,0.3914,0.448
