subgoal,step,energy,dist_to_goal_m,dx,dy,dz,dgrip,ee_x,ee_y,ee_z,cem_time_s,reached
0,0,0.50785,0.1,0.0746,0.054,0.0301,0.0,0.5545,-0.0,0.4687,4.485,0
0,1,0.41377,0.062,0.0274,-0.0206,0.0022,0.3564,0.6239,0.0498,0.4894,4.186,0
0,2,0.40256,0.0339,-0.0056,-0.0137,0.0024,0.0,0.6497,0.0305,0.4828,4.159,0
0,3,0.37519,0.0216,-0.0008,-0.0049,0.0015,0.0,0.6449,0.0177,0.4766,4.17,1
